,,,,,,,,,
Full Name,Phone,Email,Age,Experience,Yearly Income,Has children,License states,Expiration date,License number
Alex Cho,18900991919,alex.cho@gmail.com,12,45,1200.11,TRUE,Alabama,12-12-2030,1xr567
...,...,...,...,...,...,...,...,...,...
Theo Hernandez,17427635442,theo.theo@gmail.com,26,8,1200.11,FALSE,Indiana,23-9-2045,1xr743
Alex Cho,18900991919,Alex.Cho@gmail.com,12,45,1200.11,TRUE,Alabama,12-12-2030,1xr567
Franck Kessie,15423754233,frankie@gmail.com,27,9,1200.11,FALSE,California,7-9-2029,1xr743
Clarence Seedorf,12763546234,clarence.seedorf,52,32,1200.11,TRUE,Washington,3-11-2025,1xr542
Paolo Maldini,12537162634,maldini@gmail.com,49,24,1200.11,TRUE,Idaho,4-4-2027,1xr343
M.Oddo,14523675423,mass.oddo@gmail.com,49,29,1200.11,FALSE,Vermont,6-6-2023,1xr653
Alexandro Pato,18327635726,pato7@gmail.com,31,11,1200.11,TRUE,Arizona,7-9-2030,1xr452
Rafael Leao,15432567555,leo@gmail.com,21,4,1200.11,FALSE,Louisiana,1-7-2035,1xr745
